Date,Open,High,Low,Close ,Adj Close ,Volume
29-Oct-24,68.7,72.95,68.25,72.6,72.327,"14,582,430"
28-Oct-24,70,70.35,67.25,69.25,68.99,"17,262,910"
25-Oct-24,71.5,72.2,68.7,70.75,70.484,"54,631,961"
24-Oct-24,75,78,74.05,75.85,75.565,"10,893,746"
23-Oct-24,72,76.7,71,75.2,74.917,"27,033,761"
22-Oct-24,62.65,63.45,61.5,63.45,63.211,"6,681,792"
21-Oct-24,63,64.8,62,63.6,63.361,"4,950,870"
18-Oct-24,60.35,64.4,60.35,63.95,63.709,"10,939,886"
17-Oct-24,60,61.55,59.3,60.15,59.924,"6,286,378"
16-Oct-24,58,60.35,57,59.3,59.077,"5,959,517"
15-Oct-24,59.3,61.85,58.7,59.2,58.977,"14,606,634"
14-Oct-24,59.5,60.35,57.45,59.15,58.928,"11,003,180"
10-Oct-24,58.5,60,58,58.25,58.031,"13,787,996"
9-Oct-24,55,57.4,54.4,56.4,56.188,"7,992,887"
8-Oct-24,56,57,52.5,55.45,55.241,"12,831,022"
7-Oct-24,55.5,56.4,53.8,55.75,55.54,"5,272,285"
4-Oct-24,54.5,56.65,53.95,55.55,55.341,"7,346,450"
3-Oct-24,56.4,56.4,53.1,53.95,53.747,"4,847,185"
2-Oct-24,56.95,58.25,55.5,56.6,56.387,"8,518,841"
30-Sep-24,51.75,55,50.05,53.25,53.05,"17,078,929"
27-Sep-24,52.55,53.85,49.75,51.8,51.605,"16,738,438"
26-Sep-24,47.3,51.6,47.15,51.6,51.406,"8,513,345"
25-Sep-24,48.5,49.4,46.75,47.05,46.873,"9,491,425"
24-Sep-24,49.6,49.6,46.65,47.3,47.122,"8,010,200"
23-Sep-24,49.75,50.1,48.3,48.7,48.517,"2,800,110"
20-Sep-24,48.95,50.5,48.8,49.7,49.513,"5,771,280"
19-Sep-24,48.75,48.95,47.45,48.95,48.766,"4,684,070"
17-Sep-24,49.3,49.45,48.8,49.25,49.065,"778,231"
16-Sep-24,48.8,49.15,47.65,49.15,48.965,"1,143,600"
13-Sep-24,48.65,49.5,48.35,48.9,48.716,"3,730,940"
12-Sep-24,47.9,49.5,47.9,49.05,48.866,"5,666,179"
11-Sep-24,47.7,48.4,46.75,47.9,47.72,"2,810,241"
10-Sep-24,47.85,48.05,45.95,47.35,47.172,"4,489,751"
9-Sep-24,48.3,48.65,47.2,47.8,47.62,"5,012,914"
5-Sep-24,47,48.45,46.85,48.3,48.118,"6,085,540"
4-Sep-24,46.65,47.1,45.5,47,46.823,"2,745,755"
